pitch_type,sv_id,type,count,pitcher_name
NA,NA,B,0-0,Clayton Kershaw
NA,NA,X,1-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
FF,130226_130436,B,0-0,Yu Darvish
FF,130226_130453,B,1-0,Yu Darvish
FF,130226_130509,S,2-0,Yu Darvish
FF,130226_130530,S,2-1,Yu Darvish
SL,130226_130604,X,2-2,Yu Darvish
FF,130226_130648,S,0-0,Yu Darvish
FT,130226_130722,B,0-1,Yu Darvish
FF,130226_130742,S,1-1,Yu Darvish
SL,130226_130821,S,1-2,Yu Darvish
FF,130226_130859,S,0-0,Yu Darvish
FF,130226_130916,S,0-1,Yu Darvish
FF,130226_130945,B,0-2,Yu Darvish
FF,130226_131011,S,1-2,Yu Darvish
SL,130226_131053,S,1-2,Yu Darvish
SL,130226_131124,B,1-2,Yu Darvish
FF,130226_131148,X,2-2,Yu Darvish
FF,130226_132118,S,0-0,Yu Darvish
FS,130226_132139,B,0-1,Yu Darvish
FF,130226_132155,B,1-1,Yu Darvish
FF,130226_132221,S,2-1,Yu Darvish
FF,130226_132245,B,2-2,Yu Darvish
SL,130226_132310,S,3-2,Yu Darvish
FT,130226_132347,B,0-0,Yu Darvish
FF,130226_132406,X,1-0,Yu Darvish
CU,130226_132458,B,0-0,Yu Darvish
FF,130226_132515,B,1-0,Yu Darvish
FF,130226_132537,B,2-0,Yu Darvish
FF,130226_132556,X,3-0,Yu Darvish
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,B,0-0,Hiroki Kuroda
NA,NA,B,1-0,Hiroki Kuroda
NA,NA,B,2-0,Hiroki Kuroda
NA,NA,B,3-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
FF,130304_130526,S,0-0,Yu Darvish
FC,130304_130543,X,0-1,Yu Darvish
FT,130304_130626,B,0-0,Yu Darvish
FC,130304_130642,B,1-0,Yu Darvish
FC,130304_130659,S,2-0,Yu Darvish
FC,130304_130732,B,2-1,Yu Darvish
FF,130304_130751,X,3-1,Yu Darvish
FF,130304_130850,B,0-0,Yu Darvish
FF,130304_130908,B,1-0,Yu Darvish
FF,130304_130936,S,2-0,Yu Darvish
FC,130304_130955,B,2-1,Yu Darvish
FC,130304_131011,B,3-1,Yu Darvish
SL,130304_131101,S,0-0,Yu Darvish
FF,130304_131122,S,0-1,Yu Darvish
SL,130304_131146,S,0-2,Yu Darvish
FS,130304_133009,B,0-0,Yu Darvish
SL,130304_133032,S,1-0,Yu Darvish
SL,130304_133045,S,1-1,Yu Darvish
FF,130304_133102,B,1-2,Yu Darvish
SL,130304_133120,B,2-2,Yu Darvish
SL,130304_133137,B,3-2,Yu Darvish
FF,130304_133216,S,0-0,Yu Darvish
FF,130304_133236,S,0-1,Yu Darvish
FF,130304_133304,B,0-2,Yu Darvish
SL,130304_133331,S,1-2,Yu Darvish
SL,130304_133426,S,0-0,Yu Darvish
FF,130304_133446,X,0-1,Yu Darvish
FF,130304_134338,S,0-0,Yu Darvish
CU,130304_134354,B,0-1,Yu Darvish
FF,130304_134411,S,1-1,Yu Darvish
SL,130304_134449,B,1-2,Yu Darvish
FF,130304_134511,S,2-2,Yu Darvish
CU,130304_134546,B,0-0,Yu Darvish
FF,130304_134601,S,1-0,Yu Darvish
FC,130304_134622,S,1-1,Yu Darvish
FS,130304_134642,B,1-2,Yu Darvish
SL,130304_134709,X,2-2,Yu Darvish
CU,130304_134758,S,0-0,Yu Darvish
CU,130304_134818,X,0-1,Yu Darvish
FF,130305_132134,X,0-0,Clayton Kershaw
FF,130305_132207,B,0-0,Clayton Kershaw
FF,130305_132244,B,1-0,Clayton Kershaw
FF,130305_132309,S,2-0,Clayton Kershaw
FF,130305_132340,X,2-1,Clayton Kershaw
FF,130305_132414,B,0-0,Clayton Kershaw
FF,130305_132456,S,1-0,Clayton Kershaw
CH,130305_132526,X,1-1,Clayton Kershaw
FF,130305_132607,S,0-0,Clayton Kershaw
SL,130305_132628,B,0-1,Clayton Kershaw
SL,130305_132651,S,1-1,Clayton Kershaw
FF,130305_132714,X,1-2,Clayton Kershaw
SL,130305_132756,S,0-0,Clayton Kershaw
FF,130305_132816,B,0-1,Clayton Kershaw
SL,130305_132838,S,1-1,Clayton Kershaw
CU,130305_132912,B,1-2,Clayton Kershaw
SL,130305_132933,S,2-2,Clayton Kershaw
FF,130305_133000,S,2-2,Clayton Kershaw
CU,130305_133026,B,2-2,Clayton Kershaw
FF,130305_133104,X,3-2,Clayton Kershaw
FF,130305_133154,X,0-0,Clayton Kershaw
FF,130305_134450,S,0-0,Clayton Kershaw
CU,130305_134503,S,0-1,Clayton Kershaw
FF,130305_134518,B,0-2,Clayton Kershaw
CU,130305_134532,S,1-2,Clayton Kershaw
SL,130305_134551,X,1-2,Clayton Kershaw
FF,130305_134622,B,0-0,Clayton Kershaw
SL,130305_134634,S,1-0,Clayton Kershaw
CU,130305_134651,B,1-1,Clayton Kershaw
CH,130305_134709,S,2-1,Clayton Kershaw
FF,130305_134734,S,2-2,Clayton Kershaw
FF,130305_134752,B,2-2,Clayton Kershaw
FF,130305_134824,B,0-0,Clayton Kershaw
FF,130305_134909,S,1-0,Clayton Kershaw
FF,130305_134937,B,1-1,Clayton Kershaw
FF,130305_135000,X,2-1,Clayton Kershaw
FF,130305_135047,S,0-0,Clayton Kershaw
SL,130305_135107,S,0-1,Clayton Kershaw
SL,130305_135133,B,0-2,Clayton Kershaw
CU,130305_135204,B,1-2,Clayton Kershaw
SL,130305_135228,S,2-2,Clayton Kershaw
FF,130305_140158,B,0-0,Clayton Kershaw
SL,130305_140211,S,1-0,Clayton Kershaw
FF,130305_140224,S,1-1,Clayton Kershaw
FF,130305_140245,B,1-2,Clayton Kershaw
FF,130305_140301,S,2-2,Clayton Kershaw
CU,130305_140323,B,2-2,Clayton Kershaw
SL,130305_140343,X,3-2,Clayton Kershaw
SL,130305_140418,B,0-0,Clayton Kershaw
FF,130305_140431,B,1-0,Clayton Kershaw
FF,130305_140449,B,2-0,Clayton Kershaw
FF,130305_140515,S,3-0,Clayton Kershaw
FF,130305_140531,B,3-1,Clayton Kershaw
FF,130305_140603,X,0-0,Clayton Kershaw
FF,130305_140645,S,0-0,Clayton Kershaw
FF,130305_140727,S,0-1,Clayton Kershaw
SL,130305_140753,S,0-2,Clayton Kershaw
FF,130305_142258,B,0-0,Clayton Kershaw
FF,130305_142313,X,1-0,Clayton Kershaw
FF,130305_142355,B,0-0,Clayton Kershaw
FF,130305_142436,X,1-0,Clayton Kershaw
FF,130305_142526,B,0-0,Clayton Kershaw
SL,130305_142544,S,1-0,Clayton Kershaw
SL,130305_142632,B,1-1,Clayton Kershaw
SL,130305_142655,X,2-1,Clayton Kershaw
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,1-0,Clayton Kershaw
NA,NA,B,2-0,Clayton Kershaw
NA,NA,B,3-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,1-0,Clayton Kershaw
NA,NA,B,2-0,Clayton Kershaw
NA,NA,B,3-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
FF,130311_130430,B,0-0,Yu Darvish
FC,130311_130447,S,1-0,Yu Darvish
FF,130311_130505,B,1-1,Yu Darvish
FF,130311_130527,X,2-1,Yu Darvish
FF,130311_130608,B,0-0,Yu Darvish
FF,130311_130623,X,1-0,Yu Darvish
FF,130311_130710,X,0-0,Yu Darvish
FF,130311_132426,S,0-0,Yu Darvish
SL,130311_132442,S,0-1,Yu Darvish
SL,130311_132504,S,0-2,Yu Darvish
FF,130311_132542,X,0-0,Yu Darvish
FF,130311_132627,B,0-0,Yu Darvish
FF,130311_132651,S,1-0,Yu Darvish
FF,130311_132720,S,1-1,Yu Darvish
SL,130311_132759,S,1-2,Yu Darvish
FF,130311_132834,B,0-0,Yu Darvish
SL,130311_132854,S,1-0,Yu Darvish
FF,130311_132914,B,1-1,Yu Darvish
FF,130311_132936,S,2-1,Yu Darvish
SL,130311_133020,X,2-2,Yu Darvish
FF,130311_134211,S,0-0,Yu Darvish
FS,130311_134232,S,0-1,Yu Darvish
SL,130311_134259,S,0-2,Yu Darvish
FF,130311_134524,B,0-0,Yu Darvish
FF,130311_134548,S,1-0,Yu Darvish
FC,130311_134623,S,1-1,Yu Darvish
SL,130311_134653,S,1-2,Yu Darvish
PO,130311_134724,B,1-2,Yu Darvish
SL,130311_134747,S,2-2,Yu Darvish
FF,130311_134904,B,0-0,Yu Darvish
SL,130311_134922,S,1-0,Yu Darvish
FF,130311_134946,S,1-1,Yu Darvish
SL,130311_135035,S,1-2,Yu Darvish
FF,130311_135104,X,1-2,Yu Darvish
SL,130311_135152,S,0-0,Yu Darvish
SL,130311_135221,S,0-1,Yu Darvish
FF,130311_135303,S,0-2,Yu Darvish
SL,130311_135335,B,0-2,Yu Darvish
FT,130311_135403,B,1-2,Yu Darvish
SL,130311_135428,X,2-2,Yu Darvish
FC,130311_135523,S,0-0,Yu Darvish
FF,130311_135549,B,0-1,Yu Darvish
SL,130311_135617,S,1-1,Yu Darvish
FF,130311_135644,S,1-2,Yu Darvish
CU,130311_135713,B,1-2,Yu Darvish
FF,130311_135742,X,2-2,Yu Darvish
FF,130311_140508,S,0-0,Yu Darvish
FS,130311_140531,B,0-1,Yu Darvish
FS,130311_140548,S,1-1,Yu Darvish
SL,130311_140614,S,1-2,Yu Darvish
FT,130311_140640,S,1-2,Yu Darvish
CU,130311_140716,S,0-0,Yu Darvish
FF,130311_140736,B,0-1,Yu Darvish
FS,130311_140757,B,1-1,Yu Darvish
SL,130311_140827,S,2-1,Yu Darvish
FF,130311_140854,X,2-2,Yu Darvish
FF,130311_140936,S,0-0,Yu Darvish
CU,130311_140952,B,0-1,Yu Darvish
FS,130311_141015,S,1-1,Yu Darvish
FT,130311_141042,X,1-2,Yu Darvish
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
FF,130316_131722,B,0-0,Clayton Kershaw
FF,130316_131734,S,1-0,Clayton Kershaw
FF,130316_131748,S,1-1,Clayton Kershaw
CU,130316_131811,B,1-2,Clayton Kershaw
FF,130316_131828,B,2-2,Clayton Kershaw
FF,130316_131844,X,3-2,Clayton Kershaw
FF,130316_131915,S,0-0,Clayton Kershaw
FF,130316_131929,S,0-1,Clayton Kershaw
FF,130316_131951,S,0-2,Clayton Kershaw
CU,130316_132012,B,0-2,Clayton Kershaw
CU,130316_132027,B,1-2,Clayton Kershaw
FF,130316_132051,X,2-2,Clayton Kershaw
FF,130316_132127,B,0-0,Clayton Kershaw
FF,130316_132141,B,1-0,Clayton Kershaw
FF,130316_132157,S,2-0,Clayton Kershaw
FF,130316_132210,X,2-1,Clayton Kershaw
FF,130316_133018,S,0-0,Clayton Kershaw
SL,130316_133033,S,0-1,Clayton Kershaw
FF,130316_133050,B,0-2,Clayton Kershaw
CU,130316_133113,S,1-2,Clayton Kershaw
FF,130316_133147,X,0-0,Clayton Kershaw
FF,130316_133221,S,0-0,Clayton Kershaw
FF,130316_133235,B,0-1,Clayton Kershaw
SL,130316_133250,S,1-1,Clayton Kershaw
SL,130316_133308,X,1-2,Clayton Kershaw
FF,130316_134045,S,0-0,Clayton Kershaw
FF,130316_134105,S,0-1,Clayton Kershaw
FF,130316_134130,B,0-2,Clayton Kershaw
CU,130316_134148,S,1-2,Clayton Kershaw
FF,130316_134217,B,0-0,Clayton Kershaw
FF,130316_134230,B,1-0,Clayton Kershaw
FF,130316_134246,S,2-0,Clayton Kershaw
FF,130316_134307,S,2-1,Clayton Kershaw
SL,130316_134328,S,2-2,Clayton Kershaw
SL,130316_134529,S,0-0,Clayton Kershaw
SL,130316_134615,X,0-1,Clayton Kershaw
FF,130316_135256,B,0-0,Clayton Kershaw
FF,130316_135308,X,1-0,Clayton Kershaw
FF,130316_135442,B,0-0,Clayton Kershaw
SL,130316_135503,S,1-0,Clayton Kershaw
SL,130316_135554,S,1-1,Clayton Kershaw
FF,130316_135620,B,1-2,Clayton Kershaw
CU,130316_135639,X,2-2,Clayton Kershaw
SL,130316_135726,S,0-0,Clayton Kershaw
CH,130316_135750,S,0-1,Clayton Kershaw
FF,130316_135849,B,0-2,Clayton Kershaw
FF,130316_135906,S,1-2,Clayton Kershaw
CU,130316_135928,B,1-2,Clayton Kershaw
SL,130316_135953,S,2-2,Clayton Kershaw
FF,130316_140800,S,0-0,Clayton Kershaw
FF,130316_140816,S,0-1,Clayton Kershaw
FF,130316_140837,B,0-2,Clayton Kershaw
FF,130316_140854,B,1-2,Clayton Kershaw
SL,130316_140911,S,2-2,Clayton Kershaw
SL,130316_140940,S,0-0,Clayton Kershaw
FF,130316_140956,S,0-1,Clayton Kershaw
CU,130316_141017,X,0-2,Clayton Kershaw
FF,130316_141101,B,0-0,Clayton Kershaw
CH,130316_141117,S,1-0,Clayton Kershaw
CH,130316_141133,B,1-1,Clayton Kershaw
FF,130316_141150,X,2-1,Clayton Kershaw
FF,130316_142248,X,0-0,Clayton Kershaw
FF,130316_142419,S,0-0,Clayton Kershaw
CH,130316_142431,B,0-1,Clayton Kershaw
FF,130316_142445,S,1-1,Clayton Kershaw
CU,130316_142459,S,1-2,Clayton Kershaw
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,S,0-0,Hiroki Kuroda
NA,NA,S,0-1,Hiroki Kuroda
NA,NA,S,0-2,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,B,0-0,Hiroki Kuroda
NA,NA,B,1-0,Hiroki Kuroda
NA,NA,B,2-0,Hiroki Kuroda
NA,NA,B,3-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,B,0-0,Hiroki Kuroda
NA,NA,S,1-0,Hiroki Kuroda
NA,NA,X,1-1,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,X,0-0,Hiroki Kuroda
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,1-0,Clayton Kershaw
NA,NA,B,2-0,Clayton Kershaw
NA,NA,B,3-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,1-0,Clayton Kershaw
NA,NA,B,2-0,Clayton Kershaw
NA,NA,B,3-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,X,1-0,Clayton Kershaw
NA,NA,B,0-0,Clayton Kershaw
NA,NA,B,1-0,Clayton Kershaw
NA,NA,B,2-0,Clayton Kershaw
NA,NA,B,3-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,X,0-0,Clayton Kershaw
NA,NA,S,0-0,Clayton Kershaw
NA,NA,S,0-1,Clayton Kershaw
NA,NA,S,0-2,Clayton Kershaw
NA,NA,X,0-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,B,0-1,Yu Darvish
NA,NA,S,1-1,Yu Darvish
NA,NA,X,1-2,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,S,0-2,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,S,0-2,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,S,0-2,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,S,0-2,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,S,0-2,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,S,0-0,Yu Darvish
NA,NA,S,0-1,Yu Darvish
NA,NA,X,0-2,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
NA,NA,B,0-0,Yu Darvish
NA,NA,B,1-0,Yu Darvish
NA,NA,B,2-0,Yu Darvish
NA,NA,B,3-0,Yu Darvish
NA,NA,X,0-0,Yu Darvish
FF,130327_131156,B,0-0,Clayton Kershaw
FF,130327_131210,X,1-0,Clayton Kershaw
FF,130327_131249,S,0-0,Clayton Kershaw
FF,130327_131304,B,0-1,Clayton Kershaw
FF,130327_131318,B,1-1,Clayton Kershaw
SL,130327_131333,S,2-1,Clayton Kershaw
FF,130327_131350,B,2-2,Clayton Kershaw
FF,130327_131406,S,3-2,Clayton Kershaw
FF,130327_131433,X,0-0,Clayton Kershaw
FF,130327_131512,B,0-0,Clayton Kershaw
CH,130327_131531,S,1-0,Clayton Kershaw
FF,130327_131551,S,1-1,Clayton Kershaw
FF,130327_131619,B,1-2,Clayton Kershaw
CU,130327_131639,B,2-2,Clayton Kershaw
FF,130327_131659,S,3-2,Clayton Kershaw
SL,130327_131737,X,3-2,Clayton Kershaw
FF,130327_131820,S,0-0,Clayton Kershaw
SL,130327_131832,B,0-1,Clayton Kershaw
CH,130327_131847,B,1-1,Clayton Kershaw
FF,130327_131904,X,2-1,Clayton Kershaw
FF,130327_131941,B,0-0,Clayton Kershaw
FF,130327_131959,S,1-0,Clayton Kershaw
FF,130327_132017,S,1-1,Clayton Kershaw
CU,130327_132039,B,1-2,Clayton Kershaw
CU,130327_132058,S,2-2,Clayton Kershaw
SL,130327_132122,S,2-2,Clayton Kershaw
FF,130327_133330,X,0-0,Clayton Kershaw
FF,130327_133400,B,0-0,Clayton Kershaw
FF,130327_133412,X,1-0,Clayton Kershaw
FF,130327_133449,X,0-0,Clayton Kershaw
FF,130327_134818,B,0-0,Clayton Kershaw
FF,130327_134832,B,1-0,Clayton Kershaw
FF,130327_134848,X,2-0,Clayton Kershaw
FF,130327_134924,S,0-0,Clayton Kershaw
SL,130327_134942,X,0-1,Clayton Kershaw
CU,130327_135014,B,0-0,Clayton Kershaw
CH,130327_135028,S,1-0,Clayton Kershaw
SL,130327_135043,S,1-1,Clayton Kershaw
CU,130327_135103,X,1-2,Clayton Kershaw
CU,130327_135142,B,0-0,Clayton Kershaw
FF,130327_135200,S,1-0,Clayton Kershaw
FF,130327_135224,B,1-1,Clayton Kershaw
SL,130327_135248,S,2-1,Clayton Kershaw
FF,130327_135309,S,2-2,Clayton Kershaw
FF,130327_135337,S,2-2,Clayton Kershaw
FF,130327_135402,B,2-2,Clayton Kershaw
SL,130327_135422,S,3-2,Clayton Kershaw
SL,130327_135456,S,3-2,Clayton Kershaw
CH,130327_135520,B,3-2,Clayton Kershaw
SL,130327_135553,B,0-0,Clayton Kershaw
FF,130327_135615,S,1-0,Clayton Kershaw
SL,130327_135637,S,1-1,Clayton Kershaw
CU,130327_135703,X,1-2,Clayton Kershaw
FF,130327_135753,X,0-0,Clayton Kershaw
FF,130328_190759,S,0-0,Yu Darvish
FC,130328_190821,X,0-1,Yu Darvish
FF,130328_190904,S,0-0,Yu Darvish
SL,130328_190921,S,0-1,Yu Darvish
SL,130328_190942,B,0-2,Yu Darvish
FF,130328_191007,S,1-2,Yu Darvish
FC,130328_191049,S,0-0,Yu Darvish
FS,130328_191109,S,0-1,Yu Darvish
SL,130328_191137,X,0-2,Yu Darvish
SL,130328_192832,S,0-0,Yu Darvish
FF,130328_192849,B,0-1,Yu Darvish
SL,130328_192910,B,1-1,Yu Darvish
FC,130328_192931,S,2-1,Yu Darvish
FF,130328_192958,S,2-2,Yu Darvish
FF,130328_193025,S,2-2,Yu Darvish
CU,130328_193104,S,0-0,Yu Darvish
FC,130328_193122,S,0-1,Yu Darvish
FF,130328_193150,S,0-2,Yu Darvish
FC,130328_193237,S,0-0,Yu Darvish
FF,130328_193300,S,0-1,Yu Darvish
SL,130328_193351,S,0-2,Yu Darvish
SL,130328_193424,S,0-2,Yu Darvish
FF,130328_193454,B,0-0,Yu Darvish
FF,130328_193512,S,1-0,Yu Darvish
FS,130328_193535,B,1-1,Yu Darvish
FC,130328_193553,X,2-1,Yu Darvish
FC,130328_195117,S,0-0,Yu Darvish
FS,130328_195134,S,0-1,Yu Darvish
FT,130328_195156,X,0-2,Yu Darvish
FF,130328_195241,S,0-0,Yu Darvish
FF,130328_195257,S,0-1,Yu Darvish
